Test Case ID,Module/Feature,Test Case Title,Test Description,Preconditions,Test Steps,Expected Result,Test Data,Priority,Test Type,Status
TC_FB_014,Change Tracking,Warn when switching forms with unsaved changes,With unsaved changes click another form and verify warning appears with options to stay or switch,"1. Admin is editing a form
2. Form has unsaved changes","1. Make a change to a form
2. Click a different form in sidebar
3. Observe warning dialog
4. Choose Stay
5. Repeat and choose Switch (discard or save)","1. Warning appears asking to save or discard changes
2. User can stay on current form or switch
3. Selection follows the user choice",N/A,High,Functional,Pending
TC_FB_015,Change Tracking,Warn when navigating away with unsaved changes,With unsaved changes attempt to navigate away and verify warning prompts to stay or leave,"1. Admin is editing a form
2. Form has unsaved changes","1. Make a change
2. Attempt to navigate away (menu link or browser back)
3. Observe warning prompt","1. Warning about unsaved changes is displayed
2. User can choose to stay or leave",N/A,High,Functional,Pending
TC_FB_016,Change Tracking,No warning when no unsaved changes,Without changes navigate away and verify no warning is shown,"1. Admin is on Form Builder
2. No changes made","1. Navigate away from Form Builder
2. Observe behavior","1. Navigation proceeds without warning",N/A,Medium,Functional,Pending
TC_FB_017,Build Mode,Initial load shows Build Mode with spinner,Load Form Builder and verify first form auto loads in Build Mode with mode indicator and loading spinner then editor is visible,"1. Admin is on Form Builder page
2. Forms exist in sidebar","1. Load the Form Builder page
2. Observe initial form load
3. Observe mode indicator","1. First form loads automatically and is highlighted
2. Build Mode is default
3. Mode indicator shows In build mode with wrench icon
4. Loading spinner appears during load and disappears when ready
5. Editor shows all existing fields",N/A,High,UI/Functional,Pending
TC_FB_018,Static Elements,Add static elements to form,Drag Heading Content Divider and Page break into the form and verify each appears correctly and text elements are editable,"1. Admin is in Build Mode
2. Form Options panel is visible","1. Drag Heading to canvas and edit text
2. Drag Content to canvas and edit text
3. Drag Divider to canvas
4. Drag Page break to canvas","1. Each static element appears where dropped
2. Heading and Content text are editable
3. Divider and Page break render correctly",Sample text,High,Functional,Pending
TC_FB_019,Form Elements,Add and edit text input field,Drag a Text field to the form then edit label and required state and verify updates are reflected,"1. Admin is in Build Mode
2. Form Options panel is visible","1. Drag Text element to canvas
2. Select the field
3. Edit the label
4. Toggle Required on and off","1. Single-line text field appears
2. Label updates correctly
3. Required status changes and displays correctly",Sample label,High,Functional,Pending
TC_FB_020,Form Elements,Edit checkbox field options,Select a checkbox field and verify you can add remove rename and reorder options,"1. Admin is in Build Mode
2. Checkbox field exists on form","1. Select checkbox field
2. Add two new options
3. Rename an option
4. Reorder options
5. Remove an option","1. Options can be added, renamed, reordered, and removed
2. Option list updates correctly",Option labels A/B/C,High,Functional,Pending
TC_FB_021,System Fields,Prevent deletion of system fields,Try to delete a system field and verify warning appears and field remains,"1. A form with system fields is open
2. System field is visible","1. Select a system field
2. Attempt to delete it","1. Warning indicates deletion is not allowed
2. System field remains on the form",N/A,High,Functional,Pending
TC_FB_022,Reordering,Reorder fields by drag and drop,Drag a field to a new position then save and reload and verify order persists,"1. Form has multiple fields
2. Admin is in Build Mode","1. Drag a field to a new position
2. Verify layout order
3. Save the form
4. Reload the form","1. Field moves to new position
2. Other fields adjust accordingly
3. Saved order persists after reload",N/A,High,Functional,Pending
TC_FB_023,Reordering,Reorder multiple fields as a group,Reorder multiple selected fields together and verify order updates and unsaved state is indicated until save,"1. Form has multiple fields
2. Multi-select reorder is supported","1. Select multiple fields for reorder
2. Drag the selection to a new position
3. Observe unsaved changes indicator","1. Selected fields move together in the new order
2. Layout updates correctly
3. Changes are marked as unsaved until saved",N/A,Medium,Functional,Pending
TC_FB_024,Field Removal,Delete a custom field,Delete a custom field and verify it is removed and unsaved state plus Save button appears,"1. Custom field exists on the form
2. Admin is in Build Mode","1. Select the custom field
2. Click Delete
3. Observe unsaved changes and Save button","1. Custom field is removed from layout
2. Unsaved changes indicator appears
3. Save button appears",N/A,High,Functional,Pending
TC_FB_025,Preview Mode,Preview shows unsaved changes and validation markers,Make unsaved changes then switch to Preview and verify changes show required markers plus labels and help text display,"1. Admin is in Build Mode
2. Form has unsaved changes","1. Update a label and help text
2. Mark a field as required
3. Click Preview","1. Preview shows all current changes
2. Required fields show markers (e.g., asterisks)
3. Labels and help text display correctly",Sample label and help text,High,Functional,Pending
TC_FB_026,Preview Mode,Switch back to Build Mode retains changes,From Preview click Build and verify loading spinner shows and changes remain in Build Mode,"1. Admin is in Preview Mode
2. Unsaved changes exist","1. Click Build
2. Observe loading behavior
3. Verify form state","1. Loading spinner shows while Build Mode loads
2. Build Mode opens with changes intact",N/A,High,Functional,Pending
TC_FB_027,Saving,Save success and error handling,Click Save and verify button disables during save success shows message and hides button and failure shows error and re enables button,"1. Admin is in Build Mode
2. Form has changes","1. Click Save
2. Observe button state during save
3. Confirm success message and Save button disappears
4. Simulate save failure (e.g., network error) and click Save again","1. Save button disables while saving
2. On success, success message appears and Save button disappears
3. On failure, error message appears and Save button re-enables",Simulated network error,High,Functional,Pending
TC_FB_028,Field Properties,Configure text field properties,Edit text or text area properties to set help text default value and min max limits then verify in Preview,"1. Text or Text Area field exists
2. Admin is in Build Mode","1. Open field properties
2. Set help text
3. Set default value
4. Set min and max character limits
5. Preview the form","1. Help text displays in Preview
2. Default value is pre-filled
3. Character limits are enforced in Preview",Help text and limits,High,Functional,Pending
TC_FB_029,Field Properties,Configure choice defaults and ordering,For checkbox radio or drop down set a default option and reorder options then save and verify order and default persist,"1. Checkbox/Radio/Drop-down field exists
2. Admin is in Build Mode","1. Open choice field properties
2. Set a default selected option
3. Reorder options by drag and drop
4. Save the form","1. Default option is set and visible
2. Option order updates and persists after save",Option list A/B/C,High,Functional,Pending
TC_FB_030,Multiple Forms,Manage multiple forms independently,Edit two different forms and verify changes are isolated and each form requires its own save,"1. At least two forms exist
2. Admin is in Build Mode","1. Edit Form A and make a change without saving
2. Switch to Form B and make a different change
3. Save Form B only
4. Return to Form A","1. Form B changes are saved without affecting Form A
2. Form A still shows its own unsaved changes
3. Each form requires its own save action",N/A,High,Functional,Pending
