Test Case ID,Module/Feature,Test Case Title,Test Description,Preconditions,Test Steps,Expected Result,Test Data,Priority,Test Type,Status
TC_VUE_012,Filter,Clear all filters,Verify clearing all filters restores the complete list,"1. Component is loaded
2. One or more filters are active","1. Apply multiple filters
2. Locate 'Clear All Filters' button
3. Click Clear All Filters
4. Verify list restoration","1. All filters should be removed
2. Complete original list should be displayed
3. Filter indicators should be cleared
4. Result count should show total items",Clear all filters,High,Functional,Pending
TC_VUE_013,Filter,Filter with no matching results,Verify behavior when filter combination yields no results,"1. Component is loaded
2. Items are displayed","1. Apply filter combination that matches no items
2. Example: Category = 'Electronics' AND Status = 'Deleted'
3. Verify empty state","1. No items should be displayed
2. 'No items match the selected filters' message should appear
3. Filter indicators should remain active
4. User should be able to adjust filters","Category: Electronics
Status: Deleted",Medium,Functional,Pending
TC_VUE_014,Filter,Filter dropdown options,Verify filter dropdown shows correct available options,"1. Component is loaded
2. Filter panel is accessible","1. Click on Category filter dropdown
2. Verify available options
3. Check if options are sorted
4. Verify option counts if displayed","1. All unique category values should be listed
2. Options should be sorted (alphabetically or by relevance)
3. Disabled options should be indicated if applicable
4. 'All' or 'None' option may be available",Open Category dropdown,Medium,Functional,Pending
TC_VUE_015,Filter,Filter persistence across pagination,Verify active filters persist when navigating between pages,"1. Component is loaded
2. Pagination is active
3. Filters are applied","1. Apply filter: Status = 'Active'
2. Note results on page 1
3. Navigate to page 2
4. Navigate back to page 1
5. Verify filter persistence","1. Filter should remain active on all pages
2. Only filtered items should appear on each page
3. Page content should be correctly filtered
4. Filter indicator should remain visible",Navigate with active filter,High,Functional,Pending
TC_VUE_016,View Mode,Switch to List view,Verify switching to List view displays items correctly,"1. Component is loaded
2. Currently in Grid or Compact view","1. Locate view mode selector
2. Click 'List' view option
3. Verify layout change","1. Items should display in vertical list format
2. Each item should show full details (as per design)
3. One item per row
4. Layout should match AngularJS List view
5. View selector should highlight 'List' as active",Switch to List view,High,Functional,Pending
TC_VUE_017,View Mode,Switch to Grid view,Verify switching to Grid view displays items in grid layout,"1. Component is loaded
2. Currently in List or Compact view","1. Locate view mode selector
2. Click 'Grid' view option
3. Verify layout change","1. Items should display in grid format (multiple columns)
2. Grid should be responsive (columns adjust to width)
3. Each item should show in card/tile format
4. Layout should match AngularJS Grid view
5. View selector should highlight 'Grid' as active",Switch to Grid view,High,Functional,Pending
TC_VUE_018,View Mode,Switch to Compact view,Verify switching to Compact view displays condensed item list,"1. Component is loaded
2. Currently in List or Grid view","1. Locate view mode selector
2. Click 'Compact' view option
3. Verify layout change","1. Items should display in condensed format
2. Less vertical spacing between items
3. Minimal item details shown (essential info only)
4. Layout should match AngularJS Compact view
5. More items visible per screen",Switch to Compact view,High,Functional,Pending
TC_VUE_019,View Mode,View mode persistence across page reload,Verify selected view mode persists after page reload,"1. Component is loaded
2. User has selected a specific view mode","1. Switch to Grid view
2. Note the layout
3. Reload/refresh the page
4. Verify view mode on reload","1. Grid view should be retained after reload
2. User preference should be saved (localStorage/state)
3. Layout should render in saved view mode
4. All data should be displayed correctly",Reload page,Medium,Functional,Pending
TC_VUE_020,View Mode,Responsive behavior in Grid view,Verify Grid view adjusts columns based on screen width,"1. Component is loaded in Grid view
2. Browser/viewport is resizable","1. Set Grid view
2. Start with desktop width (1920px)
3. Resize to tablet width (768px)
4. Resize to mobile width (375px)
5. Observe column adjustments","1. Desktop: 4-6 columns (as designed)
2. Tablet: 2-3 columns
3. Mobile: 1-2 columns
4. Grid should reflow smoothly
5. No horizontal scrolling",Resize viewport,High,Responsive,Pending
TC_VUE_021,View Mode,View mode with filtered results,Verify view mode switching works correctly with filtered data,"1. Component is loaded
2. Filters/search are active with limited results","1. Apply filter to show 10 items
2. Switch to List view
3. Switch to Grid view
4. Switch to Compact view
5. Verify display in each mode","1. All view modes should display same filtered 10 items
2. Layout should change but data should remain consistent
3. No items should disappear or duplicate
4. Each view should be functional",Filter + switch views,Medium,Functional,Pending
TC_VUE_022,View Mode,Layout matches AngularJS version - List view,Verify List view layout exactly matches AngularJS implementation,"1. Both AngularJS and Vue 3 versions are accessible
2. Same data is loaded in both","1. Open AngularJS version in List view
2. Open Vue 3 version in List view
3. Compare layouts side-by-side
4. Verify spacing, fonts, colors, alignment","1. Item spacing should match exactly
2. Font sizes and styles should be identical
3. Colors and borders should match
4. Icon positions should align
5. Overall layout should be pixel-perfect or very close",Visual comparison,High,Functional,Pending
TC_VUE_023,View Mode,Layout matches AngularJS version - Grid view,Verify Grid view layout exactly matches AngularJS implementation,"1. Both versions are accessible
2. Same data is loaded","1. Open AngularJS version in Grid view
2. Open Vue 3 version in Grid view
3. Compare layouts
4. Check grid spacing, card design, responsiveness","1. Grid columns should match at same viewport width
2. Card/tile design should be identical
3. Spacing between items should match
4. Hover effects should be same
5. Responsive breakpoints should align",Visual comparison,High,Functional,Pending
TC_VUE_024,View Mode,Layout matches AngularJS version - Compact view,Verify Compact view layout exactly matches AngularJS implementation,"1. Both versions are accessible
2. Same data is loaded","1. Open AngularJS version in Compact view
2. Open Vue 3 version in Compact view
3. Compare layouts
4. Verify item density and information display","1. Item height and padding should match
2. Information displayed should be identical
3. Row hover effects should match
4. Font sizes should be same
5. Overall density should match",Visual comparison,High,Functional,Pending
TC_VUE_025,Item Spacing,Adjust item spacing in List view,Verify ability to adjust vertical spacing between items in List view,"1. Component is loaded in List view
2. Item spacing control is available","1. Locate item spacing control (slider/dropdown)
2. Note default spacing
3. Increase spacing to maximum
4. Decrease spacing to minimum
5. Set to medium
6. Verify visual changes","1. Spacing control should be accessible
2. Adjusting should immediately change spacing
3. Minimum spacing: compact (e.g., 4px)
4. Maximum spacing: spacious (e.g., 20px)
5. Changes should apply to all items uniformly",Adjust spacing slider,Medium,Functional,Pending
TC_VUE_026,Item Spacing,Adjust item spacing in Grid view,Verify ability to adjust spacing between items in Grid view,"1. Component is loaded in Grid view
2. Item spacing control is available","1. Switch to Grid view
2. Locate item spacing control
3. Adjust spacing from min to max
4. Observe grid gap changes","1. Both horizontal and vertical gaps should adjust
2. Grid should remain properly aligned
3. Items should not overlap at minimum spacing
4. Layout should remain responsive
5. Setting should persist across view switches",Adjust grid spacing,Medium,Functional,Pending
TC_VUE_027,Item Spacing,Item spacing persistence,Verify item spacing setting persists across sessions,"1. Component is loaded
2. User has adjusted item spacing","1. Set item spacing to maximum
2. Reload the page
3. Verify spacing on reload","1. Custom spacing setting should be retained
2. Should be saved in localStorage or user preferences
3. All view modes should respect saved spacing",Reload with custom spacing,Low,Functional,Pending
TC_VUE_028,Item Spacing,Spacing does not affect responsiveness,Verify custom spacing works correctly across different screen sizes,"1. Component is loaded
2. Custom spacing is set","1. Set item spacing to maximum
2. Resize browser from desktop to mobile
3. Verify layout at each breakpoint","1. Spacing should scale appropriately for screen size
2. Mobile view may override with optimized spacing
3. No layout breaks should occur
4. Content should remain accessible",Custom spacing + resize,Medium,Responsive,Pending
TC_VUE_029,Pagination,Display pagination controls,Verify pagination controls display when items exceed page size,"1. Component is loaded
2. Total items exceed page size (e.g., 50 items, 10 per page)","1. Load component with 50 items
2. Set page size to 10 items
3. Observe bottom of list
4. Verify pagination controls","1. Pagination controls should be visible
2. Should show: Previous, Page numbers, Next
3. Current page should be highlighted (Page 1)
4. Total page count should be visible (1 of 5)
5. Previous button should be disabled on page 1",50 items with 10 per page,High,Functional,Pending
TC_VUE_030,Pagination,Navigate to next page,Verify clicking Next button navigates to the next page,"1. Component is loaded with pagination
2. User is on page 1","1. Note items displayed on page 1
2. Click 'Next' button
3. Verify page 2 loads","1. Page 2 items should be displayed
2. Page 1 items should be hidden
3. Current page indicator should show '2'
4. Previous button should be enabled
5. Scroll position should reset to top (optional)",Click Next,High,Functional,Pending
TC_VUE_031,Pagination,Navigate to previous page,Verify clicking Previous button navigates to the previous page,"1. Component is loaded with pagination
2. User is on page 2 or higher","1. Navigate to page 2
2. Note items displayed
3. Click 'Previous' button
4. Verify page 1 loads","1. Page 1 items should be displayed
2. Page 2 items should be hidden
3. Current page indicator should show '1'
4. Previous button should be disabled on page 1",Click Previous,High,Functional,Pending
TC_VUE_032,Pagination,Navigate to specific page number,Verify clicking specific page number navigates directly to that page,"1. Component is loaded with pagination
2. Multiple pages available (5+ pages)","1. User is on page 1
2. Click on page number '4'
3. Verify direct navigation","1. Page 4 should load immediately
2. Appropriate items (31-40 if 10 per page) should display
3. Current page indicator should show '4'
4. Both Previous and Next should be enabled (if not last page)",Click page 4,High,Functional,Pending
TC_VUE_033,Pagination,Navigate to first page,Verify 'First' button navigates to page 1,"1. Component is loaded with pagination
2. User is on page 3 or higher","1. Navigate to page 3
2. Locate 'First' button (if available)
3. Click 'First' button
4. Verify navigation","1. Page 1 should load
2. First page items should display
3. Previous button should be disabled
4. Current page should indicate '1'",Click First page,Medium,Functional,Pending
TC_VUE_034,Pagination,Navigate to last page,Verify 'Last' button navigates to the final page,"1. Component is loaded with pagination
2. User is on page 1 or middle page","1. Note total page count (e.g., 5 pages)
2. Locate 'Last' button
3. Click 'Last' button
4. Verify navigation","1. Last page (5) should load
2. Final set of items should display
3. Next button should be disabled
4. Current page should indicate last page number",Click Last page,Medium,Functional,Pending
TC_VUE_035,Pagination,Change items per page,Verify changing page size recalculates pagination,"1. Component is loaded
2. Page size selector is available (10, 25, 50, 100)","1. Note current pagination (e.g., 50 items, 10 per page = 5 pages)
2. Change page size to 25 items per page
3. Verify pagination updates","1. Pagination should recalculate (50 items / 25 = 2 pages)
2. More items should display on current page
3. Total page count should decrease
4. User should remain on page 1 or appropriate page",Change to 25 per page,High,Functional,Pending
TC_VUE_036,Pagination,Pagination with filtered results,Verify pagination updates correctly when filters reduce item count,"1. Component is loaded
2. Pagination is active
3. Total items: 50 (5 pages)","1. Note initial pagination (5 pages)
2. Apply filter that shows only 8 items
3. Verify pagination updates","1. Pagination should recalculate (1 page if 10 per page)
2. Only filtered items should display
3. Page numbers should update accordingly
4. Pagination may hide if all items fit on one page",Filter to 8 items,High,Functional,Pending
TC_VUE_037,Pagination,Pagination controls hide with few items,Verify pagination controls hide when all items fit on one page,"1. Component is loaded
2. Total items < page size (e.g., 5 items, 10 per page)","1. Load component with only 5 items
2. Page size is set to 10
3. Observe pagination area","1. Pagination controls should be hidden or disabled
2. All 5 items should display
3. No page numbers should show
4. UI should be clean without unnecessary pagination",5 items total,Medium,Functional,Pending
TC_VUE_038,Pagination,Pagination preserves view mode,Verify view mode persists when navigating between pages,"1. Component is loaded with pagination
2. User selects Grid view","1. Switch to Grid view on page 1
2. Navigate to page 2
3. Navigate to page 3
4. Verify view mode","1. Grid view should be maintained on all pages
2. View mode should not reset to default
3. Items on each page should display in Grid view",Grid view + pagination,Medium,Functional,Pending
TC_VUE_039,Pagination,Ellipsis for many pages,Verify pagination shows ellipsis when page count is very high,"1. Component is loaded
2. Many pages exist (e.g., 50 pages)","1. Load component with 500 items (10 per page = 50 pages)
2. Observe pagination controls
3. Navigate to middle page (25)","1. Should show: « 1 ... 24 25 26 ... 50 »
2. Ellipsis (...) should indicate hidden page numbers
3. Should show current page and few surrounding pages
4. First and last page numbers should always be visible",500 items / 10 per page,Medium,Functional,Pending
TC_VUE_040,Pagination,Pagination loading indicator,Verify loading indicator appears when loading new page,"1. Component is loaded
2. Backend delay is possible (or simulated)","1. Click to navigate to page 2
2. Observe loading behavior
3. Wait for page to load","1. Loading spinner/indicator should appear briefly
2. Previous page content may remain visible or blur
3. New page content should replace old after loading
4. No flash of empty content",Navigate with network delay,Low,Functional,Pending
TC_VUE_041,Selection Mode,Single selection mode - select one item,Verify only one item can be selected at a time in single mode,"1. Component is loaded in single selection mode
2. Multiple items are displayed","1. Verify mode indicator shows 'Single Select'
2. Click on first item to select
3. Verify selection (checkbox/highlight)
4. Click on second item
5. Verify selection changes","1. First item should be selected initially (checkbox checked/highlighted)
2. When second item is clicked, first should be deselected
3. Only one item should be selected at any time
4. Selection indicator should be clear",Click items 1 and 2,High,Functional,Pending
TC_VUE_042,Selection Mode,Multi selection mode - select multiple items,Verify multiple items can be selected simultaneously in multi mode,"1. Component is loaded in multi selection mode
2. Multiple items are displayed","1. Verify mode indicator shows 'Multi Select'
2. Click on first item to select
3. Click on second item to select
4. Click on third item to select
5. Verify all selections","1. All three items should remain selected
2. Checkboxes should be checked for all three
3. Selection count should show '3 items selected'
4. All selected items should be highlighted",Select items 1, 2, 3,High,Functional,Pending
TC_VUE_043,Selection Mode,Toggle selection mode,Verify switching between single and multi selection modes,"1. Component is loaded
2. Items are selected in multi mode","1. Set multi selection mode
2. Select 3 items
3. Switch to single selection mode
4. Observe behavior","1. When switching to single mode, either:
   a) All selections clear, or
   b) Only first/last selection is retained
2. Mode indicator should update
3. Selection behavior should change immediately
4. No errors should occur",Switch selection modes,Medium,Functional,Pending
TC_VUE_044,Selection Mode,Select all items in multi mode,Verify 'Select All' functionality in multi selection mode,"1. Component is loaded in multi mode
2. Multiple items are displayed (e.g., 20 items on current page)","1. Locate 'Select All' checkbox (typically in header)
2. Click 'Select All'
3. Verify all items are selected","1. All items on current page should be selected
2. All checkboxes should be checked
3. Selection count should show total (e.g., '20 items selected')
4. 'Select All' checkbox should be checked",Click Select All,High,Functional,Pending
TC_VUE_045,Selection Mode,Deselect all items,Verify 'Deselect All' or unchecking 'Select All' clears selections,"1. Component is loaded in multi mode
2. Multiple items are selected","1. Select 5 items manually
2. Click 'Select All' checkbox to uncheck (or 'Deselect All' button)
3. Verify all selections are cleared","1. All items should be deselected
2. All checkboxes should be unchecked
3. Selection count should show '0 items selected'
4. 'Select All' checkbox should be unchecked",Deselect all,High,Functional,Pending
TC_VUE_046,Selection Mode,Partial selection state in Select All,Verify indeterminate state when some items are selected,"1. Component is loaded in multi mode
2. 10 items are displayed","1. Select 3 out of 10 items manually
2. Observe 'Select All' checkbox state","1. 'Select All' checkbox should show indeterminate state (dash/minus icon)
2. Indicates some but not all items are selected
3. Selection count should show '3 items selected'
4. Clicking 'Select All' should select remaining items",Select 3 of 10 items,Medium,Functional,Pending
TC_VUE_047,Selection Mode,Selection persists across pagination,Verify selected items remain selected when navigating pages,"1. Component is loaded in multi mode
2. Pagination is active","1. On page 1, select items 2, 5, 8
2. Navigate to page 2
3. Select items 3, 7
4. Navigate back to page 1
5. Verify selections","1. Items 2, 5, 8 should still be selected on page 1
2. Total selection count should show 5 items
3. Selections should persist across page navigation
4. Selected items on page 2 should also persist",Select across pages,High,Functional,Pending
TC_VUE_048,Selection Mode,Shift+Click range selection,Verify Shift+Click selects range of items in multi mode,"1. Component is loaded in multi mode
2. At least 10 items are visible","1. Click on item 2 to select
2. Hold Shift key
3. Click on item 7
4. Release Shift
5. Verify selection range","1. Items 2 through 7 should all be selected (6 items total)
2. Range selection should be contiguous
3. Selection count should show '6 items selected'
4. All items in range should be highlighted",Shift+Click items 2-7,Medium,Functional,Pending
TC_VUE_049,Selection Mode,Ctrl+Click toggle selection,Verify Ctrl+Click toggles individual item selection in multi mode,"1. Component is loaded in multi mode
2. Some items are already selected","1. Select item 3
2. Hold Ctrl key (Cmd on Mac)
3. Click item 7 (should add to selection)
4. Ctrl+Click item 3 again (should deselect)
5. Verify behavior","1. Ctrl+Click on unselected item should add to selection
2. Ctrl+Click on selected item should remove from selection
3. Other selections should remain unchanged
4. Selection count should update accordingly",Ctrl+Click items,Medium,Functional,Pending
TC_VUE_050,Selection Mode,Keyboard navigation for selection,Verify keyboard arrows and spacebar work for selection,"1. Component is loaded
2. Focus is on the list","1. Use Tab to focus on list
2. Use Arrow Down to move through items
3. Press Space to select/deselect focused item
4. Repeat for multiple items
5. Verify selections","1. Arrow keys should move focus indicator
2. Spacebar should toggle selection of focused item
3. Selection should work with keyboard only
4. Visual focus indicator should be clear",Keyboard navigation,Medium,Accessibility,Pending
TC_VUE_051,Selection Mode,Selection count display,Verify selection count displays correctly,"1. Component is loaded in multi mode
2. No items are selected initially","1. Verify initial state shows '0 items selected' or no count
2. Select 1 item, verify shows '1 item selected'
3. Select 4 more items, verify shows '5 items selected'
4. Deselect 2 items, verify shows '3 items selected'","1. Count should update in real-time
2. Grammar should be correct (item vs items)
3. Count should be prominently displayed
4. Count should include selections across all pages if applicable",Select various counts,Medium,Functional,Pending
TC_VUE_052,Selection Mode,Bulk actions on selected items,Verify bulk actions can be performed on selected items,"1. Component is loaded in multi mode
2. Bulk action buttons are available (Delete, Export, etc.)","1. Select 5 items
2. Locate bulk action button (e.g., 'Delete Selected')
3. Click bulk action button
4. Confirm action
5. Verify action completes","1. Bulk action should apply to all selected items
2. Confirmation dialog should show count (e.g., 'Delete 5 items?')
3. Action should complete successfully
4. Items should update accordingly (deleted, exported, etc.)",Select 5 + Delete,High,Functional,Pending
TC_VUE_053,Selection Mode,Selection clears after bulk action,Verify selections are cleared after bulk action completes,"1. Component is loaded in multi mode
2. Items are selected and bulk action performed","1. Select 3 items
2. Perform bulk action (e.g., Export)
3. Wait for action to complete
4. Verify selection state","1. Selections should be cleared after action completes
2. Selection count should show 0
3. Checkboxes should be unchecked
4. User can start fresh selection",Bulk action completion,Medium,Functional,Pending
TC_VUE_054,Selection Mode,Selection with filtered items,Verify selection works correctly with filtered results,"1. Component is loaded in multi mode
2. Filter is applied","1. Apply filter to show 8 items
2. Select 3 filtered items
3. Clear filter
4. Verify selection state","1. 3 selected items should remain selected when filter is cleared
2. Selection should be visible in full list
3. Selection count should remain at 3
4. Selecting works on filtered subsets",Filter + select + clear,High,Functional,Pending
TC_VUE_055,Drag & Drop Customization,View customize mode activation,Verify user can enter view customization mode,"1. Component is loaded
2. Customize view option is available","1. Locate 'Customize View' or settings icon
2. Click to enter customize mode
3. Verify mode activation","1. Customize mode should activate
2. Visual indicators should show draggable fields
3. Instructions should display (e.g., 'Drag to reorder columns')
4. Drag handles should appear on field headers",Click Customize View,High,Functional,Pending
TC_VUE_056,Drag & Drop Customization,Drag and drop field to reorder,Verify user can drag a field to a new position,"1. Component is in customize mode
2. Multiple fields are displayed (e.g., Name, Date, Status, Priority)","1. Locate drag handle on 'Status' field
2. Click and hold on drag handle
3. Drag 'Status' to position before 'Name'
4. Release mouse
5. Verify new order","1. Field should visually move while dragging
2. Drop indicator should show where field will be placed
3. After drop, 'Status' should appear before 'Name'
4. New order: Status, Name, Date, Priority
5. List items should reflect new field order",Drag Status field,High,Functional,Pending
TC_VUE_057,Drag & Drop Customization,Drag field to first position,Verify dragging a field to the first position works correctly,"1. Component is in customize mode
2. Current order: Name, Date, Status, Priority","1. Drag 'Priority' field
2. Move it to the very first position (before Name)
3. Drop it
4. Verify new order","1. 'Priority' should move to first position
2. New order: Priority, Name, Date, Status
3. All other fields should shift right
4. List view should update immediately",Drag to first position,Medium,Functional,Pending
TC_VUE_058,Drag & Drop Customization,Drag field to last position,Verify dragging a field to the last position works correctly,"1. Component is in customize mode
2. Current order: Name, Date, Status, Priority","1. Drag 'Name' field
2. Move it to the very last position (after Priority)
3. Drop it
4. Verify new order","1. 'Name' should move to last position
2. New order: Date, Status, Priority, Name
3. All other fields should shift left
4. List view should update",Drag to last position,Medium,Functional,Pending
TC_VUE_059,Drag & Drop Customization,Cancel drag operation,Verify drag operation can be cancelled,"1. Component is in customize mode
2. User starts dragging a field","1. Start dragging 'Date' field
2. Move it over different positions
3. Press Escape key (or drag outside valid drop zone)
4. Verify field returns to original position","1. Field should return to original position
2. No order change should occur
3. Visual indicators should disappear
4. User can try again",Press Escape while dragging,Low,Functional,Pending
TC_VUE_060,Drag & Drop Customization,Show/hide fields,Verify user can show or hide specific fields,"1. Component is in customize mode
2. Field visibility toggles are available","1. Locate field list with checkboxes
2. Uncheck 'Date' field to hide it
3. Uncheck 'Priority' field
4. Verify changes
5. Check them again to show","1. Unchecked fields should be hidden from list view
2. Hidden fields should not appear in item rows
3. Checking them again should restore visibility
4. At least one field must remain visible (validation)",Toggle Date and Priority,High,Functional,Pending
TC_VUE_061,Drag & Drop Customization,Minimum visible fields validation,Verify at least one field must remain visible,"1. Component is in customize mode
2. Multiple fields are visible","1. Try to hide all fields except one
2. Try to hide the last remaining field
3. Observe validation","1. System should prevent hiding the last field
2. Warning message should appear
3. At least one field must remain checked
4. Checkbox should remain checked or be disabled",Try to hide all fields,Medium,Functional,Pending
TC_VUE_062,Drag & Drop Customization,Reset to default layout,Verify 'Reset to Default' restores original field configuration,"1. Component is in customize mode
2. User has reordered and hidden fields","1. Reorder several fields
2. Hide some fields
3. Locate 'Reset to Default' button
4. Click Reset to Default
5. Verify restoration","1. Fields should return to original order
2. All fields should be visible again
3. Any custom settings should be cleared
4. Layout should match initial state",Click Reset to Default,Medium,Functional,Pending
TC_VUE_063,Drag & Drop Customization,Save custom layout,Verify custom layout can be saved and persists,"1. Component is in customize mode
2. User has made changes","1. Reorder fields to: Status, Priority, Name, Date
2. Hide 'Date' field
3. Click 'Save' or 'Apply' button
4. Exit customize mode
5. Verify changes persist","1. New field order should be saved
2. Hidden fields should remain hidden
3. Settings should persist after page reload
4. User should see custom layout in normal view",Save custom layout,High,Functional,Pending
TC_VUE_064,Drag & Drop Customization,Custom layout persists across sessions,Verify saved layout persists after page reload,"1. Component has saved custom layout
2. Browser has saved settings (localStorage)","1. Verify custom layout is active
2. Note field order and visibility
3. Reload the page
4. Verify layout after reload","1. Custom field order should be retained
2. Hidden fields should remain hidden
3. Layout should load from localStorage
4. User should not need to recustomize",Reload page,High,Functional,Pending
TC_VUE_065,Drag & Drop Customization,Drag visual feedback,Verify visual feedback during drag operation,"1. Component is in customize mode
2. User starts dragging a field","1. Click and hold on 'Status' field
2. Move mouse to drag
3. Hover over different drop positions
4. Observe visual feedback","1. Dragged field should have visual effect (opacity, shadow)
2. Drop indicator line should show valid drop position
3. Other fields should shift to show where item will land
4. Cursor should change to dragging cursor
5. Smooth animation during drag",Drag with observation,Medium,UI/UX,Pending
TC_VUE_066,Drag & Drop Customization,Field width adjustment,Verify user can adjust column widths (if applicable),"1. Component is in customize or normal mode
2. Fields have adjustable widths","1. Hover over border between two field headers
2. Cursor should change to resize cursor
3. Click and drag to adjust width
4. Release mouse
5. Verify width change","1. Field width should adjust as dragged
2. Other fields should adjust to accommodate
3. Minimum width should be enforced
4. Width adjustment should be saved
Note: Verify if this feature exists",Resize column width,Low,Functional,Pending
TC_VUE_067,Drag & Drop Customization,Customize view in different modes,Verify customization applies to all view modes (List/Grid/Compact),"1. Component is loaded
2. Custom layout is created in List view","1. In List view, customize fields: reorder and hide some
2. Save customization
3. Switch to Grid view
4. Switch to Compact view
5. Verify customization applies","1. Field customization should apply to List view
2. Grid view should show same visible fields
3. Compact view should respect field visibility
4. Field order may vary by view mode (verify expected behavior)",Customize + switch views,Medium,Functional,Pending
TC_VUE_068,Drag & Drop Customization,Drag and drop accessibility,Verify drag and drop can be done via keyboard for accessibility,"1. Component is in customize mode
2. User is using keyboard only","1. Tab to focus on a field header
2. Press Space or Enter to 'grab' the field
3. Use Arrow keys to move it to new position
4. Press Space or Enter to 'drop'
5. Verify reorder","1. Keyboard users should be able to reorder fields
2. Visual focus should be clear
3. Screen reader should announce actions
4. Arrow keys should move field position
Note: Verify if implemented",Keyboard only,Medium,Accessibility,Pending
